timestamp,victim_id,peek_count,tokens_extracted,correct_tokens,accuracy,extracted_tokens,match_status,total_execution_time,peek_one_token_times,attack_request_times,reconstructed_preview,victim_prompt_preview,known_prefix_preview
2025-12-18 10:46:52,TEST,3,3,0,0.0000,"["" er"", ""astic"", "" durable""]",NO_MATCH,125.81,"[""42.69"", ""41.28"", ""41.84""]","[""34.66"", ""32.15"", ""33.49""]",Imagine you are an experienced Ethereum developer tasked with creating a smart contract for a blockc,Imagine you are an experienced Ethereum developer tasked with creating a smart contract for a blockc,Imagine you are an experienced Ethereum developer tasked with creating a smart contract for a blockc
2025-12-18 10:48:31,TEST,3,3,1,0.3333,"["" "", ""25"", ""px""]",NO_MATCH,89.40,"[""30.09"", ""29.13"", ""30.17""]","[""22.94"", ""22.47"", ""26.25""]",I want you to act as a linux terminal. I will type commands and you will reply with what the termina,I want you to act as a linux terminal. I will type commands and you will reply with what the termina,I want you to act as a linux terminal. I will type commands and you will reply with what the termina
2025-12-18 10:50:45,TEST,3,3,0,0.0000,"["" copy"", ""edited"", "" French""]",NO_MATCH,122.30,"[""40.62"", ""40.26"", ""41.42""]","[""33.53"", ""33.67"", ""33.00""]","I want you to act as an English translator, spelling corrector and improver. I will speak to you in ","I want you to act as an English translator, spelling corrector and improver. I will speak to you in ","I want you to act as an English translator, spelling corrector and improver. I will speak to you in "
2025-12-18 10:52:50,TEST,3,3,0,0.0000,"["" Just"", "" click"", "" submit""]",NO_MATCH,116.90,"[""42.30"", ""41.46"", ""33.14""]","[""35.51"", ""36.90"", ""29.69""]",I want you to act as an interviewer. I will be the candidate and you will ask me the interview quest,I want you to act as an interviewer. I will be the candidate and you will ask me the interview quest,I want you to act as an interviewer. I will be the candidate and you will ask me the interview quest
2025-12-18 10:54:45,TEST,3,3,0,0.0000,"["" Type"", "" this"", "" script""]",NO_MATCH,100.31,"[""34.30"", ""33.03"", ""32.99""]","[""25.15"", ""25.27"", ""26.46""]",I want you to act as a javascript console. I will type commands and you will reply with what the jav,I want you to act as a javascript console. I will type commands and you will reply with what the jav,I want you to act as a javascript console. I will type commands and you will reply with what the jav
2025-12-18 10:57:02,TEST,3,3,1,0.3333,"["" "", ""15"", "".""]",NO_MATCH,124.68,"[""42.89"", ""39.04"", ""42.75""]","[""37.46"", ""32.45"", ""33.93""]",I want you to act as a text based excel. you'll only reply me the text-based 10 rows excel sheet wit,I want you to act as a text based excel. you'll only reply me the text-based 10 rows excel sheet wit,I want you to act as a text based excel. you'll only reply me the text-based 10 rows excel sheet wit
2025-12-18 10:58:42,TEST,3,3,0,0.0000,"["" first"", "" try"", "" different""]",NO_MATCH,87.72,"[""26.92"", ""31.00"", ""29.79""]","[""22.01"", ""23.40"", ""23.13""]",I want you to act as an English pronunciation assistant for ${Mother Language:Turkish} speaking peop,I want you to act as an English pronunciation assistant for ${Mother Language:Turkish} speaking peop,I want you to act as an English pronunciation assistant for ${Mother Language:Turkish} speaking peop
2025-12-18 11:01:16,TEST,3,3,0,0.0000,"["" shall"", "" return"", "" my""]",NO_MATCH,141.07,"[""46.25"", ""49.68"", ""45.14""]","[""39.67"", ""40.29"", ""37.31""]",I want you to act as a spoken English teacher and improver. I will speak to you in English and you w,I want you to act as a spoken English teacher and improver. I will speak to you in English and you w,I want you to act as a spoken English teacher and improver. I will speak to you in English and you w
2025-12-18 11:03:29,TEST,3,3,0,0.0000,"["" places"", "" and"", "" it""]",NO_MATCH,119.62,"[""42.26"", ""38.10"", ""39.26""]","[""33.82"", ""34.65"", ""35.76""]",I want you to act as a travel guide. I will write you my location and you will suggest a place to vi,I want you to act as a travel guide. I will write you my location and you will suggest a place to vi,I want you to act as a travel guide. I will write you my location and you will suggest a place to vi
2025-12-18 11:05:35,TEST,3,3,0,0.0000,"["" Let"", "" alone"", "" use""]",NO_MATCH,113.76,"[""39.04"", ""38.17"", ""36.55""]","[""32.52"", ""31.38"", ""31.44""]",I want you to act as a plagiarism checker. I will write you sentences and you will only reply undete,I want you to act as a plagiarism checker. I will write you sentences and you will only reply undete,I want you to act as a plagiarism checker. I will write you sentences and you will only reply undete
